archivo,tipo,cx_mm_cad,cy_mm_cad,cx_mm_cv,cy_mm_cv,err_cx_mm,err_cy_mm,err_centro_mm,precision_%,angulo_cad_deg,angulo_esperado,angulo_cv_deg,err_angulo_deg
figura_01.png,rectangulo,219.17,71.32,219.074,71.414,-0.096,0.094,0.135,99.963,-41.82,41.82,41.82,-0.0
figura_02.png,rectangulo,173.71,77.26,173.608,77.363,-0.102,0.103,0.145,99.961,-21.76,21.76,21.77,0.01
figura_03.png,rectangulo,124.19,76.7,124.09,76.8,-0.1,0.1,0.141,99.961,-61.26,61.26,61.25,-0.01
figura_04.png,L,249.3,111.89,249.262,111.97,-0.038,0.08,0.088,99.976,-60.52,105.52,-74.48,-0.0
figura_05.png,cruz,119.4,85.87,119.281,85.99,-0.119,0.12,0.168,99.954,-77.42,77.42,66.39,
figura_06.png,rectangulo,81.28,113.21,81.178,113.305,-0.102,0.095,0.139,99.962,-73.3,73.3,73.3,-0.0
figura_07.png,rectangulo,144.74,88.15,144.635,88.254,-0.105,0.104,0.147,99.96,-37.48,37.48,37.48,-0.0
figura_08.png,cruz,219.13,77.48,219.028,77.579,-0.102,0.099,0.143,99.961,60.81,-60.81,-65.92,
figura_09.png,cruz,183.96,92.17,183.859,92.27,-0.101,0.1,0.142,99.961,-52.76,52.76,-69.11,
figura_10.png,T,246.45,101.69,246.296,101.787,-0.154,0.097,0.183,99.95,-87.74,177.74,-2.25,0.01
figura_11.png,cruz,190.44,103.33,190.337,103.429,-0.103,0.099,0.143,99.961,33.27,-33.27,56.21,
figura_12.png,cruz,142.29,90.81,142.19,90.91,-0.1,0.1,0.142,99.961,3.71,-3.71,78.88,
figura_13.png,L,68.17,88.95,68.079,89.106,-0.091,0.156,0.181,99.951,40.65,4.35,4.34,-0.01
figura_14.png,T,124.12,81.3,123.977,81.375,-0.143,0.075,0.161,99.956,-59.38,149.38,-30.61,0.01
figura_15.png,rectangulo,135.28,112.3,135.177,112.399,-0.103,0.099,0.143,99.961,40.16,-40.16,-40.15,0.01
figura_16.png,rectangulo,69.39,100.27,69.279,100.374,-0.111,0.104,0.152,99.959,-55.97,55.97,55.96,-0.01
figura_17.png,rectangulo,269.46,82.46,269.361,82.561,-0.099,0.101,0.141,99.962,71.31,-71.31,-71.3,0.01
figura_18.png,rectangulo,268.19,127.12,268.061,127.267,-0.129,0.147,0.195,99.947,24.98,-24.98,-24.98,-0.0
figura_19.png,L,265.75,62.3,265.692,62.452,-0.058,0.152,0.163,99.956,7.95,37.05,37.04,-0.01
figura_20.png,cruz,151.49,50.81,151.382,50.945,-0.108,0.135,0.173,99.953,-21.85,21.85,-73.59,
